"species","year","cum_species"
"Carex emoryi",1877,904
"Carex digitalis",1877,904
"Carex diandra",1877,904
"Juncus pelocarpus",1877,904
"Juniperus communis",1877,904
"Vitis riparia",1877,904
"Carex crinita",1877,904
"Carex comosa",1877,904
"Carex chordorrhiza",1877,904
"Carex baileyi",1877,904
"Carex backii",1877,904
"Carex atratiformis",1877,904
"Viola subsinuata",1877,904
"Carex aquatilis",1877,904
"Physostegia virginiana",1877,904
"Gentianella amarella",1877,904
"Polytrichum juniperinum",1877,904
"Polytrichum strictum",1877,904
"Thuidium delicatulum",1877,904
"Porella platyphylla",1877,904
"Campylium hispidulum",1877,904
"Cirsium arvense",1877,904
"Campylium chrysophyllum",1877,904
"Anomodon attenuatus",1877,904
"Anomodon rostratus",1877,904
"Anomodon rugelii",1877,904
"Nowellia curvifolia",1877,904
"Campanula rapunculoides",1877,904
"Cirsium muticum",1877,904
"Phegopteris hexagonoptera",1877,904
"Solidago leiocarpa",1877,904
"Acer pseudoplatanus",1877,904
"Solidago arguta",1877,904
"Conioselinum chinense",1877,904
"Accipiter gentilis",1877,904
"Calypso bulbosa",1877,904
"Ulmus americana",1877,904
"Prunus serotina",1877,904
"Corallorhiza maculata",1877,904
"Nephromopsis cucullata",1877,904
"Cladonia amaurocraea",1877,904
"Silene latifolia",1877,904
"Fissidens dubius",1877,904
"Silene chalcedonica",1877,904
"Neottia convallarioides",1877,904
"Vicia sativa",1877,904
"Pterospora andromedea",1877,904
"Lathyrus palustris",1877,904
"Ptilidium ciliare",1877,904
"Neckera pennata",1877,904
"Callicladium haldanianum",1877,904
"Nabalus boottii",1877,904
"Cladonia arbuscula",1877,904
"Holcus lanatus",1877,904
"Viburnum opulus",1877,904
"Aplectrum hyemale",1877,904
"Calamagrostis canadensis",1877,904
"Myrica gale",1877,904
"Viburnum edule",1877,904
"Frullania grayana",1877,904
"Homomallium adnatum",1877,904
"Buteo lineatus",1877,904
"Buglossoides arvensis",1877,904
"Pinguicula vulgaris",1877,904
"Geum aleppicum",1877,904
"Aralia hispida",1877,904
"Agastache scrophulariifolia",1877,904
"Mononeuria groenlandica",1877,904
"Bryum caespiticium",1877,904
"Bryum argenteum",1877,904
"Mnium thomsonii",1877,904
"Veronica serpyllifolia",1877,904
"Brotherella recurvans",1877,904
"Mnium lycopodioides",1877,904
"Phegopteris connectilis",1877,904
"Bromus erectus",1877,904
"Quercus alba",1877,904
"Cladonia deformis",1877,904
"Arenaria serpyllifolia",1877,904
"Leersia oryzoides",1877,904
"Quercus coccinea",1877,904
"Huperzia appalachiana",1877,904
"Quercus velutina",1877,904
"Mitella nuda",1877,904
"Brachythecium salebrosum",1877,904
"Radula complanata",1877,904
